id_venta,fecha,cliente,producto,cantidad,importe,medio_pago
TEST-L-0071,2026-09-15,Distribuidora Lomas,Aceite 20W50 x 4 L,12,3662.5,efectivo
TEST-L-0072,2026-09-16,Kiosco El Trebol,Cemento bolsa 50 kg,13,3700.0,transferencia
TEST-L-0073,2026-09-17,,Pilas AA pack x 4,14,3737.5,tarjeta
TEST-L-0074,2026-09-18,Corralon Belgrano,Harina 000 bolsa 25 kg,15,3775.0,efectivo
TEST-L-0075,2026-09-19,Ferreteria San Martin,Aceite 20W50 x 4 L,16,3812.5,transferencia
TEST-L-0076,2026-09-20,Distribuidora Lomas,Cemento bolsa 50 kg,17,3850.0,tarjeta
TEST-L-0077,2026-09-14,Kiosco El Trebol,Pilas AA pack x 4,18,3887.5,efectivo
TEST-L-0078,2026-09-15,,Harina 000 bolsa 25 kg,19,3925.0,transferencia
TEST-L-0079,2026-09-16,Corralon Belgrano,Aceite 20W50 x 4 L,20,3962.5,tarjeta
TEST-L-0080,2026-09-17,Ferreteria San Martin,Cemento bolsa 50 kg,1,4000.0,efectivo
TEST-L-0081,2026-09-18,Distribuidora Lomas,Pilas AA pack x 4,2,4037.5,transferencia
TEST-L-0082,2026-09-19,Kiosco El Trebol,Harina 000 bolsa 25 kg,3,4075.0,tarjeta
TEST-L-0083,2026-09-20,,Aceite 20W50 x 4 L,4,4112.5,efectivo
TEST-L-0084,2026-09-14,Corralon Belgrano,Cemento bolsa 50 kg,5,4150.0,transferencia
TEST-L-0085,2026-09-15,Ferreteria San Martin,Pilas AA pack x 4,6,4187.5,tarjeta
TEST-L-0086,2026-09-16,Distribuidora Lomas,Harina 000 bolsa 25 kg,7,4225.0,efectivo
TEST-L-0087,2026-09-17,Kiosco El Trebol,Aceite 20W50 x 4 L,8,4262.5,transferencia
TEST-L-0088,2026-09-18,,Cemento bolsa 50 kg,9,4300.0,tarjeta
TEST-L-0089,2026-09-19,Corralon Belgrano,Pilas AA pack x 4,10,4337.5,efectivo
TEST-L-0090,2026-09-20,Ferreteria San Martin,Harina 000 bolsa 25 kg,11,4375.0,transferencia
TEST-L-0091,2026-09-14,Distribuidora Lomas,Aceite 20W50 x 4 L,12,4412.5,tarjeta
TEST-L-0092,2026-09-15,Kiosco El Trebol,Cemento bolsa 50 kg,13,4450.0,efectivo
TEST-L-0093,2026-09-16,,Pilas AA pack x 4,14,4487.5,transferencia
TEST-L-0094,2026-09-17,Corralon Belgrano,Harina 000 bolsa 25 kg,15,4525.0,tarjeta
TEST-L-0095,2026-09-18,Ferreteria San Martin,Aceite 20W50 x 4 L,16,4562.5,efectivo
TEST-L-0096,2026-09-19,Distribuidora Lomas,Cemento bolsa 50 kg,17,4600.0,transferencia
TEST-L-0097,2026-09-20,Kiosco El Trebol,Pilas AA pack x 4,18,4637.5,tarjeta
TEST-L-0098,2026-09-14,,Harina 000 bolsa 25 kg,19,4675.0,efectivo
TEST-L-0099,2026-09-15,Corralon Belgrano,Aceite 20W50 x 4 L,20,4712.5,transferencia
TEST-L-0100,2026-09-16,Ferreteria San Martin,Cemento bolsa 50 kg,1,4750.0,tarjeta
TEST-L-0101,2026-09-17,Distribuidora Lomas,Pilas AA pack x 4,2,4787.5,efectivo
TEST-L-0102,2026-09-18,Kiosco El Trebol,Harina 000 bolsa 25 kg,3,4825.0,transferencia
TEST-L-0103,2026-09-19,,Aceite 20W50 x 4 L,4,4862.5,tarjeta
TEST-L-0104,2026-09-20,Corralon Belgrano,Cemento bolsa 50 kg,5,4900.0,efectivo
TEST-L-0105,2026-09-14,Ferreteria San Martin,Pilas AA pack x 4,6,4937.5,transferencia
TEST-L-0106,2026-09-15,Distribuidora Lomas,Harina 000 bolsa 25 kg,7,4975.0,tarjeta
TEST-L-0107,2026-09-16,Kiosco El Trebol,Aceite 20W50 x 4 L,8,5012.5,efectivo
TEST-L-0108,2026-09-17,,Cemento bolsa 50 kg,9,5050.0,transferencia
TEST-L-0109,2026-09-18,Corralon Belgrano,Pilas AA pack x 4,10,5087.5,tarjeta
TEST-L-0110,2026-09-19,Ferreteria San Martin,Harina 000 bolsa 25 kg,11,5125.0,efectivo
TEST-L-0111,2026-09-20,Distribuidora Lomas,Aceite 20W50 x 4 L,12,5162.5,transferencia
TEST-L-0112,2026-09-14,Kiosco El Trebol,Cemento bolsa 50 kg,13,5200.0,tarjeta
TEST-L-0113,2026-09-15,,Pilas AA pack x 4,14,5237.5,efectivo
TEST-L-0114,2026-09-16,Corralon Belgrano,Harina 000 bolsa 25 kg,15,5275.0,transferencia
TEST-L-0115,2026-09-17,Ferreteria San Martin,Aceite 20W50 x 4 L,16,5312.5,tarjeta
TEST-L-0116,2026-09-18,Distribuidora Lomas,Cemento bolsa 50 kg,17,5350.0,efectivo
TEST-L-0117,2026-09-19,Kiosco El Trebol,Pilas AA pack x 4,18,5387.5,transferencia
TEST-L-0118,2026-09-20,,Harina 000 bolsa 25 kg,19,5425.0,tarjeta
TEST-L-0119,2026-09-14,Corralon Belgrano,Aceite 20W50 x 4 L,20,5462.5,efectivo
TEST-L-0120,2026-09-15,Ferreteria San Martin,Cemento bolsa 50 kg,1,5500.0,transferencia
TEST-L-0121,2026-09-16,Distribuidora Lomas,Pilas AA pack x 4,2,5537.5,tarjeta
TEST-L-0122,2026-09-17,Kiosco El Trebol,Harina 000 bolsa 25 kg,3,5575.0,efectivo
TEST-L-0123,2026-09-18,,Aceite 20W50 x 4 L,4,5612.5,transferencia
TEST-L-0124,2026-09-19,Corralon Belgrano,Cemento bolsa 50 kg,5,5650.0,tarjeta
TEST-L-0125,2026-09-20,Ferreteria San Martin,Pilas AA pack x 4,6,5687.5,efectivo
TEST-L-0126,2026-09-14,Distribuidora Lomas,Harina 000 bolsa 25 kg,7,5725.0,transferencia
TEST-L-0127,2026-09-15,Kiosco El Trebol,Aceite 20W50 x 4 L,8,5762.5,tarjeta
TEST-L-0128,2026-09-16,,Cemento bolsa 50 kg,9,5800.0,efectivo
TEST-L-0129,2026-09-17,Corralon Belgrano,Pilas AA pack x 4,10,5837.5,transferencia
TEST-L-0130,2026-09-18,Ferreteria San Martin,Harina 000 bolsa 25 kg,11,5875.0,tarjeta
TEST-L-0131,2026-09-19,Distribuidora Lomas,Aceite 20W50 x 4 L,12,5912.5,efectivo
TEST-L-0132,2026-09-20,Kiosco El Trebol,Cemento bolsa 50 kg,13,5950.0,transferencia
TEST-L-0133,2026-09-14,,Pilas AA pack x 4,14,5987.5,tarjeta
TEST-L-0134,2026-09-15,Corralon Belgrano,Harina 000 bolsa 25 kg,15,6025.0,efectivo
TEST-L-0135,2026-09-16,Ferreteria San Martin,Aceite 20W50 x 4 L,16,6062.5,transferencia
TEST-L-0136,2026-09-17,Distribuidora Lomas,Cemento bolsa 50 kg,17,6100.0,tarjeta
TEST-L-0137,2026-09-18,Kiosco El Trebol,Pilas AA pack x 4,18,6137.5,efectivo
TEST-L-0138,2026-09-19,,Harina 000 bolsa 25 kg,19,6175.0,transferencia
TEST-L-0139,2026-09-20,Corralon Belgrano,Aceite 20W50 x 4 L,20,6212.5,tarjeta
TEST-L-0140,2026-09-14,Ferreteria San Martin,Cemento bolsa 50 kg,1,6250.0,efectivo
TEST-L-0141,2026-09-15,Distribuidora Lomas,Pilas AA pack x 4,2,6287.5,transferencia
TEST-L-0142,2026-09-16,Kiosco El Trebol,Harina 000 bolsa 25 kg,3,6325.0,tarjeta
TEST-L-0143,2026-09-17,,Aceite 20W50 x 4 L,4,6362.5,efectivo
TEST-L-0144,2026-09-18,Corralon Belgrano,Cemento bolsa 50 kg,5,6400.0,transferencia
TEST-L-0145,2026-09-19,Ferreteria San Martin,Pilas AA pack x 4,6,6437.5,tarjeta
TEST-L-0146,2026-09-20,Distribuidora Lomas,Harina 000 bolsa 25 kg,7,6475.0,efectivo
TEST-L-0147,2026-09-14,Kiosco El Trebol,Aceite 20W50 x 4 L,8,6512.5,transferencia
TEST-L-0148,2026-09-15,,Cemento bolsa 50 kg,9,6550.0,tarjeta
TEST-L-0149,2026-09-16,Corralon Belgrano,Pilas AA pack x 4,10,6587.5,efectivo
TEST-L-0150,2026-09-17,Ferreteria San Martin,Harina 000 bolsa 25 kg,11,6625.0,transferencia
TEST-L-0151,2026-09-18,Distribuidora Lomas,Aceite 20W50 x 4 L,12,6662.5,tarjeta
TEST-L-0152,2026-09-19,Kiosco El Trebol,Cemento bolsa 50 kg,13,6700.0,efectivo
TEST-L-0153,2026-09-20,,Pilas AA pack x 4,14,6737.5,transferencia
TEST-L-0154,2026-09-14,Corralon Belgrano,Harina 000 bolsa 25 kg,15,6775.0,tarjeta
TEST-L-0155,2026-09-15,Ferreteria San Martin,Aceite 20W50 x 4 L,16,6812.5,efectivo
TEST-L-0156,2026-09-16,Distribuidora Lomas,Cemento bolsa 50 kg,17,6850.0,transferencia
TEST-L-0157,2026-09-17,Kiosco El Trebol,Pilas AA pack x 4,18,6887.5,tarjeta
TEST-L-0158,2026-09-18,,Harina 000 bolsa 25 kg,19,6925.0,efectivo
TEST-L-0159,2026-09-19,Corralon Belgrano,Aceite 20W50 x 4 L,20,6962.5,transferencia
TEST-L-0160,2026-09-20,Ferreteria San Martin,Cemento bolsa 50 kg,1,7000.0,tarjeta
TEST-L-0161,2026-09-14,Distribuidora Lomas,Pilas AA pack x 4,2,7037.5,efectivo
TEST-L-0162,2026-09-15,Kiosco El Trebol,Harina 000 bolsa 25 kg,3,7075.0,transferencia
TEST-L-0163,2026-09-16,,Aceite 20W50 x 4 L,4,7112.5,tarjeta
TEST-L-0164,2026-09-17,Corralon Belgrano,Cemento bolsa 50 kg,5,7150.0,efectivo
TEST-L-0165,2026-09-18,Ferreteria San Martin,Pilas AA pack x 4,6,7187.5,transferencia
TEST-L-0166,2026-09-19,Distribuidora Lomas,Harina 000 bolsa 25 kg,7,7225.0,tarjeta
TEST-L-0167,2026-09-20,Kiosco El Trebol,Aceite 20W50 x 4 L,8,7262.5,efectivo
TEST-L-0168,2026-09-14,,Cemento bolsa 50 kg,9,7300.0,transferencia
TEST-L-0169,2026-09-15,Corralon Belgrano,Pilas AA pack x 4,10,7337.5,tarjeta
TEST-L-0170,2026-09-16,Ferreteria San Martin,Harina 000 bolsa 25 kg,11,7375.0,efectivo
TEST-L-0171,2026-09-17,Distribuidora Lomas,Aceite 20W50 x 4 L,12,7412.5,transferencia
TEST-L-0172,2026-09-18,Kiosco El Trebol,Cemento bolsa 50 kg,13,7450.0,tarjeta
TEST-L-0173,2026-09-19,,Pilas AA pack x 4,14,7487.5,efectivo
TEST-L-0174,2026-09-20,Corralon Belgrano,Harina 000 bolsa 25 kg,15,7525.0,transferencia
TEST-L-0175,2026-09-14,Ferreteria San Martin,Aceite 20W50 x 4 L,16,7562.5,tarjeta
TEST-L-0176,2026-09-15,Distribuidora Lomas,Cemento bolsa 50 kg,17,7600.0,efectivo
TEST-L-0177,2026-09-16,Kiosco El Trebol,Pilas AA pack x 4,18,7637.5,transferencia
TEST-L-0178,2026-09-17,,Harina 000 bolsa 25 kg,19,7675.0,tarjeta
TEST-L-0179,2026-09-18,Corralon Belgrano,Aceite 20W50 x 4 L,20,7712.5,efectivo
TEST-L-0180,2026-09-19,Ferreteria San Martin,Cemento bolsa 50 kg,1,7750.0,transferencia
TEST-L-0181,2026-09-20,Distribuidora Lomas,Pilas AA pack x 4,2,7787.5,tarjeta
TEST-L-0182,2026-09-14,Kiosco El Trebol,Harina 000 bolsa 25 kg,3,7825.0,efectivo
TEST-L-0183,2026-09-15,,Aceite 20W50 x 4 L,4,7862.5,transferencia
TEST-L-0184,2026-09-16,Corralon Belgrano,Cemento bolsa 50 kg,5,7900.0,tarjeta
TEST-L-0185,2026-09-17,Ferreteria San Martin,Pilas AA pack x 4,6,7937.5,efectivo
TEST-L-0186,2026-09-18,Distribuidora Lomas,Harina 000 bolsa 25 kg,7,7975.0,transferencia
TEST-L-0187,2026-09-19,Kiosco El Trebol,Aceite 20W50 x 4 L,8,8012.5,tarjeta
TEST-L-0188,2026-09-20,,Cemento bolsa 50 kg,9,8050.0,efectivo
TEST-L-0189,2026-09-14,Corralon Belgrano,Pilas AA pack x 4,10,8087.5,transferencia
TEST-L-0190,2026-09-15,Ferreteria San Martin,Harina 000 bolsa 25 kg,11,8125.0,tarjeta
TEST-L-0191,2026-09-16,Distribuidora Lomas,Aceite 20W50 x 4 L,12,8162.5,efectivo
TEST-L-0192,2026-09-17,Kiosco El Trebol,Cemento bolsa 50 kg,13,8200.0,transferencia
TEST-L-0193,2026-09-18,,Pilas AA pack x 4,14,8237.5,tarjeta
TEST-L-0194,2026-09-19,Corralon Belgrano,Harina 000 bolsa 25 kg,15,8275.0,efectivo
TEST-L-0195,2026-09-20,Ferreteria San Martin,Aceite 20W50 x 4 L,16,8312.5,transferencia
TEST-L-0196,2026-09-14,Distribuidora Lomas,Cemento bolsa 50 kg,17,8350.0,tarjeta
TEST-L-0197,2026-09-15,Kiosco El Trebol,Pilas AA pack x 4,18,8387.5,efectivo
TEST-L-0198,2026-09-16,,Harina 000 bolsa 25 kg,19,8425.0,transferencia
TEST-L-0199,2026-09-17,Corralon Belgrano,Aceite 20W50 x 4 L,20,8462.5,tarjeta
TEST-L-0200,2026-09-18,Ferreteria San Martin,Cemento bolsa 50 kg,1,8500.0,efectivo
TEST-L-0201,2026-09-19,Distribuidora Lomas,Pilas AA pack x 4,2,8537.5,transferencia
TEST-L-0202,2026-09-20,Kiosco El Trebol,Harina 000 bolsa 25 kg,3,8575.0,tarjeta
TEST-L-0203,2026-09-14,,Aceite 20W50 x 4 L,4,8612.5,efectivo
TEST-L-0204,2026-09-15,Corralon Belgrano,Cemento bolsa 50 kg,5,8650.0,transferencia
TEST-L-0205,2026-09-16,Ferreteria San Martin,Pilas AA pack x 4,6,8687.5,tarjeta
TEST-L-0206,2026-09-17,Distribuidora Lomas,Harina 000 bolsa 25 kg,7,8725.0,efectivo
TEST-L-0207,2026-09-18,Kiosco El Trebol,Aceite 20W50 x 4 L,8,8762.5,transferencia
TEST-L-0208,2026-09-19,,Cemento bolsa 50 kg,9,8800.0,tarjeta
TEST-L-0209,2026-09-20,Corralon Belgrano,Pilas AA pack x 4,10,8837.5,efectivo
TEST-L-0210,2026-09-14,Ferreteria San Martin,Harina 000 bolsa 25 kg,11,8875.0,transferencia
TEST-L-0211,2026-09-15,Distribuidora Lomas,Aceite 20W50 x 4 L,12,8912.5,tarjeta
TEST-L-0212,2026-09-16,Kiosco El Trebol,Cemento bolsa 50 kg,13,8950.0,efectivo
TEST-L-0213,2026-09-17,,Pilas AA pack x 4,14,8987.5,transferencia
TEST-L-0214,2026-09-18,Corralon Belgrano,Harina 000 bolsa 25 kg,15,9025.0,tarjeta
TEST-L-0215,2026-09-19,Ferreteria San Martin,Aceite 20W50 x 4 L,16,9062.5,efectivo
TEST-L-0216,2026-09-20,Distribuidora Lomas,Cemento bolsa 50 kg,17,9100.0,transferencia
TEST-L-0217,2026-09-14,Kiosco El Trebol,Pilas AA pack x 4,18,9137.5,tarjeta
TEST-L-0218,2026-09-15,,Harina 000 bolsa 25 kg,19,9175.0,efectivo
TEST-L-0219,2026-09-16,Corralon Belgrano,Aceite 20W50 x 4 L,20,9212.5,transferencia
TEST-L-0220,2026-09-17,Ferreteria San Martin,Cemento bolsa 50 kg,1,9250.0,tarjeta
TEST-L-0221,2026-09-18,Distribuidora Lomas,Pilas AA pack x 4,2,9287.5,efectivo
TEST-L-0222,2026-09-19,Kiosco El Trebol,Harina 000 bolsa 25 kg,3,9325.0,transferencia
TEST-L-0223,2026-09-20,,Aceite 20W50 x 4 L,4,9362.5,tarjeta
TEST-L-0224,2026-09-14,Corralon Belgrano,Cemento bolsa 50 kg,5,9400.0,efectivo
TEST-L-0225,2026-09-15,Ferreteria San Martin,Pilas AA pack x 4,6,9437.5,transferencia
TEST-L-0226,2026-09-16,Distribuidora Lomas,Harina 000 bolsa 25 kg,7,9475.0,tarjeta
TEST-L-0227,2026-09-17,Kiosco El Trebol,Aceite 20W50 x 4 L,8,9512.5,efectivo
TEST-L-0228,2026-09-18,,Cemento bolsa 50 kg,9,9550.0,transferencia
TEST-L-0229,2026-09-19,Corralon Belgrano,Pilas AA pack x 4,10,9587.5,tarjeta
TEST-L-0230,2026-09-20,Ferreteria San Martin,Harina 000 bolsa 25 kg,11,9625.0,efectivo
TEST-L-0231,2026-09-14,Distribuidora Lomas,Aceite 20W50 x 4 L,12,9662.5,transferencia
TEST-L-0232,2026-09-15,Kiosco El Trebol,Cemento bolsa 50 kg,13,9700.0,tarjeta
TEST-L-0233,2026-09-16,,Pilas AA pack x 4,14,9737.5,efectivo
TEST-L-0234,2026-09-17,Corralon Belgrano,Harina 000 bolsa 25 kg,15,9775.0,transferencia
TEST-L-0235,2026-09-18,Ferreteria San Martin,Aceite 20W50 x 4 L,16,9812.5,tarjeta
TEST-L-0236,2026-09-19,Distribuidora Lomas,Cemento bolsa 50 kg,17,9850.0,efectivo
TEST-L-0237,2026-09-20,Kiosco El Trebol,Pilas AA pack x 4,18,9887.5,transferencia
TEST-L-0238,2026-09-14,,Harina 000 bolsa 25 kg,19,9925.0,tarjeta
TEST-L-0239,2026-09-15,Corralon Belgrano,Aceite 20W50 x 4 L,20,9962.5,efectivo
TEST-L-0240,2026-09-16,Ferreteria San Martin,Cemento bolsa 50 kg,1,10000.0,transferencia
TEST-L-0241,2026-09-17,Distribuidora Lomas,Pilas AA pack x 4,2,10037.5,tarjeta
TEST-L-0242,2026-09-18,Kiosco El Trebol,Harina 000 bolsa 25 kg,3,10075.0,efectivo
TEST-L-0243,2026-09-19,,Aceite 20W50 x 4 L,4,10112.5,transferencia
TEST-L-0244,2026-09-20,Corralon Belgrano,Cemento bolsa 50 kg,5,10150.0,tarjeta
TEST-L-0245,2026-09-14,Ferreteria San Martin,Pilas AA pack x 4,6,10187.5,efectivo
TEST-L-0246,2026-09-15,Distribuidora Lomas,Harina 000 bolsa 25 kg,7,10225.0,transferencia
TEST-L-0247,2026-09-16,Kiosco El Trebol,Aceite 20W50 x 4 L,8,10262.5,tarjeta
TEST-L-0248,2026-09-17,,Cemento bolsa 50 kg,9,10300.0,efectivo
TEST-L-0249,2026-09-18,Corralon Belgrano,Pilas AA pack x 4,10,10337.5,transferencia
TEST-L-0250,2026-09-19,Ferreteria San Martin,Harina 000 bolsa 25 kg,11,10375.0,tarjeta
TEST-L-0251,2026-09-20,Distribuidora Lomas,Aceite 20W50 x 4 L,12,10412.5,efectivo
TEST-L-0252,2026-09-14,Kiosco El Trebol,Cemento bolsa 50 kg,13,10450.0,transferencia
TEST-L-0253,2026-09-15,,Pilas AA pack x 4,14,10487.5,tarjeta
TEST-L-0254,2026-09-16,Corralon Belgrano,Harina 000 bolsa 25 kg,15,10525.0,efectivo
TEST-L-0255,2026-09-17,Ferreteria San Martin,Aceite 20W50 x 4 L,16,10562.5,transferencia
TEST-L-0256,2026-09-18,Distribuidora Lomas,Cemento bolsa 50 kg,17,10600.0,tarjeta
TEST-L-0257,2026-09-19,Kiosco El Trebol,Pilas AA pack x 4,18,10637.5,efectivo
TEST-L-0258,2026-09-20,,Harina 000 bolsa 25 kg,19,10675.0,transferencia
TEST-L-0259,2026-09-14,Corralon Belgrano,Aceite 20W50 x 4 L,20,10712.5,tarjeta
TEST-L-0260,2026-09-15,Ferreteria San Martin,Cemento bolsa 50 kg,1,10750.0,efectivo
TEST-L-0261,2026-09-16,Distribuidora Lomas,Pilas AA pack x 4,2,10787.5,transferencia
TEST-L-0262,2026-09-17,Kiosco El Trebol,Harina 000 bolsa 25 kg,3,10825.0,tarjeta
TEST-L-0263,2026-09-18,,Aceite 20W50 x 4 L,4,10862.5,efectivo
TEST-L-0264,2026-09-19,Corralon Belgrano,Cemento bolsa 50 kg,5,10900.0,transferencia
TEST-L-0265,2026-09-20,Ferreteria San Martin,Pilas AA pack x 4,6,10937.5,tarjeta
TEST-L-0266,2026-09-14,Distribuidora Lomas,Harina 000 bolsa 25 kg,7,10975.0,efectivo
TEST-L-0267,2026-09-15,Kiosco El Trebol,Aceite 20W50 x 4 L,8,11012.5,transferencia
TEST-L-0268,2026-09-16,,Cemento bolsa 50 kg,9,11050.0,tarjeta
TEST-L-0269,2026-09-17,Corralon Belgrano,Pilas AA pack x 4,10,11087.5,efectivo
TEST-L-0270,2026-09-18,Ferreteria San Martin,Harina 000 bolsa 25 kg,11,11125.0,transferencia
TEST-L-0271,2026-09-19,Distribuidora Lomas,Aceite 20W50 x 4 L,12,11162.5,tarjeta
