id_venta,fecha,cliente,producto,cantidad,importe,medio_pago
V-1134,2025-10-12,Gimnasio Fuerza,Auriculares,3,65690.53,transferencia
V-1135,2025-10-12,Carlos Rodriguez,Servicio de mantenimiento,1,29969.82,tarjeta
V-1136,2025-10-12,Farmacia San Martin,Servicio mensual,1,47118.86,transferencia
V-1137,2025-10-13,Gimnasio Fuerza,Servicio mensual,1,48027.01,transferencia
V-1138,2025-10-13,Diego Torres,Toner HP,1,8780.70,tarjeta
V-1139,2025-10-13,Escuela Sarmiento,Disco SSD 1TB,5,409349.48,tarjeta
V-1140,2025-10-13,Agropecuaria Campo Verde,Harina x25kg,9,30121.52,efectivo
V-1141,2025-10-13,Peluqueria Glamour,Silla ergonomica,2,208407.00,transferencia
V-1142,2025-10-13,Marta Gomez,Cafe en grano,14,28429.33,tarjeta
V-1143,2025-10-13,Juan Perez,Teclado mecanico,4,165365.49,tarjeta
V-1144,2025-10-14,Bar La Esquina,Mouse inalambrico,3,29148.31,efectivo
V-1145,2025-10-14,Comercial Andrade,Monitor 24'',3,560434.74,efectivo
V-1146,2025-10-14,Hotel Plaza,Mouse inalambrico,10,90174.66,tarjeta
V-1147,2025-10-14,Taller Mecanico Lopez,Aceite x12,3,17266.09,transferencia
V-1148,2025-10-14,Diego Torres,Licencia software anual,3,350346.54,tarjeta
V-1149,2025-10-14,Constructora Norte,Teclado mecanico,3,110923.78,transferencia
V-1150,2025-10-14,Agropecuaria Campo Verde,Tornillos x100,41,6076.05,efectivo
V-1151,2025-10-14,Taller Mecanico Lopez,Capacitacion,1,62649.79,tarjeta
V-1152,2025-10-14,Panaderia Ortiz,Pendrive 64GB,13,103783.00,tarjeta
V-1153,2025-10-14,Distribuidora Sur,Servicio de consultoria,1,18209.63,cheque
V-1154,2025-10-14,Imprenta Rapida,Pendrive 64GB,17,145482.10,efectivo
V-1155,2025-10-14,Agropecuaria Campo Verde,Cuaderno,21,9567.44,transferencia
V-1156,2025-10-14,Ana Martinez,Toner HP,6,45327.68,efectivo
V-1157,2025-10-14,Veterinaria Patitas,Silla ergonomica,6,523978.42,transferencia
V-1158,2025-10-14,Clinica Belgrano,Armazon,3,45050.50,transferencia
V-1159,2025-10-14,Agropecuaria Campo Verde,Pendrive 64GB,20,159764.58,tarjeta
V-1160,2025-10-14,Restaurante El Puerto,Cartucho tinta,3,21369.56,tarjeta
V-1161,2025-10-15,Sofia Ramirez,Detergente 5L,18,75410.91,mercadopago
V-1162,2025-10-15,Panaderia Ortiz,Mouse inalambrico,10,93815.86,efectivo
V-1163,2025-10-15,Cafe Colonial,Agua mineral x6,26,46068.20,tarjeta
V-1164,2025-10-15,Veterinaria Patitas,Pendrive 64GB,3,23353.47,transferencia
V-1165,2025-10-15,Consultora Delta,Harina x25kg,12,35647.69,tarjeta
V-1166,2025-10-15,Hotel Plaza,Mouse inalambrico,5,52799.38,efectivo
V-1167,2025-10-15,Libreria Central,Lapiceras x12,16,37739.44,efectivo
V-1168,2025-10-15,Ferreteria Nuñez,Golosinas surtidas,50,7743.03,transferencia
V-1169,2025-10-15,Escuela Sarmiento,Mouse inalambrico,2,18014.57,tarjeta
V-1170,2025-10-15,Ferreteria Nuñez,Servicio de consultoria,1,18588.74,transferencia
V-1171,2025-10-15,Pedro Sanchez,Licencia software anual,2,220046.94,transferencia
V-1172,2025-10-15,Distribuidora Sur,Cafe en grano,13,24877.71,transferencia
V-1173,2025-10-15,Gimnasio Fuerza,Capacitacion,1,54342.86,efectivo
V-1174,2025-10-16,Carniceria El Toro,Harina x25kg,9,27716.94,mercadopago
V-1175,2025-10-16,Carniceria El Toro,Cartucho tinta,8,48205.20,transferencia
V-1176,2025-10-16,Agropecuaria Campo Verde,Licencia software anual,4,492580.56,tarjeta
V-1177,2025-10-16,Gimnasio Fuerza,Agua mineral x6,45,81547.30,tarjeta
V-1178,2025-10-16,Lucia Fernandez,Cafe en grano,14,25701.50,tarjeta
V-1179,2025-10-16,Comercial Andrade,Aceite x12,3,16428.22,tarjeta
V-1180,2025-10-16,Escuela Sarmiento,Disco SSD 1TB,2,145316.55,tarjeta
V-1181,2025-10-16,Escuela Sarmiento,Bolsas x100,36,43139.90,transferencia
V-1182,2025-10-16,Martin Castro,Disco SSD 1TB,4,317877.89,transferencia
V-1183,2025-10-16,Valentina Diaz,Servicio de consultoria,1,17347.71,tarjeta
V-1184,2025-10-16,Pedro Sanchez,Cafe en grano,4,8343.90,efectivo
V-1185,2025-10-16,Taller Mecanico Lopez,Cafe en grano,6,10990.10,tarjeta
V-1186,2025-10-16,Carniceria El Toro,Hosting mensual,1,11483.22,efectivo
V-1187,2025-10-16,Libreria Central,Teclado mecanico,2,81372.93,transferencia
V-1188,2025-10-17,Sofia Ramirez,Toner HP,6,48165.93,transferencia
V-1189,2025-10-17,Garcia SA,Licencia software anual,4,450027.79,transferencia
V-1190,2025-10-17,Estudio Contable RyR,Cartucho tinta,1,6091.72,transferencia
V-1191,2025-10-17,Supermercado Don Pepe,Golosinas surtidas,76,11917.80,transferencia
V-1192,2025-10-17,Clinica Belgrano,Servicio de consultoria,1,17453.60,transferencia
V-1193,2025-10-17,Transportes Rios,Hosting mensual,1,13195.11,efectivo
V-1194,2025-10-17,Panaderia Ortiz,Notebook Lenovo,2,1135895.33,transferencia
V-1195,2025-10-17,Escuela Sarmiento,Disco SSD 1TB,4,274283.08,transferencia
V-1196,2025-10-17,Comercial Andrade,Carpeta A4,21,26798.94,transferencia
V-1197,2025-10-17,Sofia Ramirez,Disco SSD 1TB,6,427406.61,transferencia
V-1198,2025-10-17,Estudio Contable RyR,Notebook Lenovo,1,615143.49,tarjeta
V-1199,2025-10-17,Lucia Fernandez,Servicio mensual,1,44002.11,mercadopago
V-1200,2025-10-17,Valentina Diaz,Tornillos x100,45,7528.66,tarjeta
V-1201,2025-10-17,Carlos Rodriguez,Aceite x12,8,46863.30,tarjeta
V-1202,2025-10-17,Bar La Esquina,Notebook Lenovo,3,1755017.23,transferencia
V-1203,2025-10-18,Consultora Delta,Teclado mecanico,3,102943.54,tarjeta
V-1204,2025-10-18,Juan Perez,Mouse inalambrico,4,35350.01,tarjeta
V-1205,2025-10-18,Panaderia Ortiz,Bolsas x100,35,39950.73,tarjeta
V-1206,2025-10-18,Ferreteria Nuñez,Resma A4,20,18444.49,efectivo
V-1207,2025-10-18,Gimnasio Fuerza,Harina x25kg,12,33926.79,tarjeta
V-1208,2025-10-18,Distribuidora Sur,Bolsas x100,39,45400.78,tarjeta
V-1209,2025-10-18,Gimnasio Fuerza,Harina x25kg,10,32789.08,efectivo
V-1210,2025-10-19,Pedro Sanchez,Monitor 24'',2,325537.40,tarjeta
V-1211,2025-10-19,Diego Torres,Golosinas surtidas,52,8421.91,efectivo
V-1212,2025-10-19,Diego Torres,Cartucho tinta,5,32777.77,transferencia
V-1213,2025-10-19,Transportes Rios,Tornillos x100,39,6049.89,transferencia
V-1214,2025-10-19,Valentina Diaz,Capacitacion,3,194921.06,transferencia
V-1215,2025-10-19,Farmacia San Martin,Lapiceras x12,6,14254.23,tarjeta
V-1216,2025-10-19,Peluqueria Glamour,Monitor 24'',1,189933.04,tarjeta
V-1217,2025-10-19,Hotel Plaza,Tornillos x100,6,982.99,efectivo
V-1218,2025-10-19,Carniceria El Toro,Cafe en grano,7,14618.81,efectivo
V-1219,2025-10-19,Panaderia Ortiz,Servicio mensual,1,47391.61,tarjeta
V-1220,2025-10-19,Bar La Esquina,Harina x25kg,8,25498.88,transferencia
V-1221,2025-10-20,Distribuidora Sur,Detergente 5L,4,15267.09,transferencia
V-1222,2025-10-20,Carlos Rodriguez,Notebook Lenovo,1,571274.84,transferencia
V-1223,2025-10-20,Inmobiliaria Sol,Servicio de mantenimiento,1,33010.70,tarjeta
V-1224,2025-10-20,Supermercado Don Pepe,Servicio de mantenimiento,1,29114.15,tarjeta
V-1225,2025-10-20,Ana Martinez,Resma A4,5,5375.91,efectivo
V-1226,2025-10-20,Marta Gomez,Auriculares,2,43718.92,tarjeta
V-1227,2025-10-20,Hotel Plaza,Cable HDMI,15,51617.51,efectivo
V-1228,2025-10-20,Juan Perez,Notebook Lenovo,3,1772883.42,efectivo
V-1229,2025-10-20,Ana Martinez,Capacitacion,2,109870.45,mercadopago
V-1230,2025-10-20,Carniceria El Toro,Toner HP,1,8464.78,tarjeta
V-1231,2025-10-20,Libreria Central,Servicio mensual,1,45630.25,tarjeta
V-1232,2025-10-20,Agropecuaria Campo Verde,Cartucho tinta,7,47739.59,tarjeta
V-1233,2025-10-20,Optica Vision,Monitor 24'',4,775126.66,efectivo
V-1234,2025-10-20,Optica Vision,Cartucho tinta,7,45542.70,tarjeta
V-1235,2025-10-21,Imprenta Rapida,Licencia software anual,4,521617.92,tarjeta
V-1236,2025-10-21,Almacen La Paz,Harina x25kg,7,21319.57,efectivo
V-1237,2025-10-21,Carniceria El Toro,Harina x25kg,11,32331.73,transferencia
V-1238,2025-10-21,Farmacia San Martin,Disco SSD 1TB,5,406961.02,tarjeta
V-1239,2025-10-21,Comercial Andrade,Monitor 24'',4,786214.72,efectivo
V-1240,2025-10-21,Lucia Fernandez,Cuaderno,6,2709.51,transferencia
V-1241,2025-10-21,Garcia SA,Cafe en grano,5,10711.44,efectivo
V-1242,2025-10-21,Valentina Diaz,Bolsas x100,57,59890.50,tarjeta
V-1243,2025-10-21,Transportes Rios,Servicio de mantenimiento,1,29403.44,tarjeta
V-1244,2025-10-21,Mueblerias Hogar,Golosinas surtidas,53,7738.66,transferencia
V-1245,2025-10-21,Constructora Norte,Aceite x12,5,26173.86,tarjeta
V-1246,2025-10-21,Escuela Sarmiento,Servicio mensual,1,47012.22,transferencia
V-1247,2025-10-21,Estudio Contable RyR,Capacitacion,3,187302.52,tarjeta
V-1248,2025-10-22,Agropecuaria Campo Verde,Cuaderno,7,3295.40,tarjeta
V-1249,2025-10-22,Veterinaria Patitas,Disco SSD 1TB,1,81328.07,transferencia
V-1250,2025-10-22,Bar La Esquina,Capacitacion,2,117996.52,efectivo
V-1251,2025-10-22,Martin Castro,Cafe en grano,13,26794.45,mercadopago
V-1252,2025-10-22,Lucia Fernandez,Agua mineral x6,45,79096.29,tarjeta
V-1253,2025-10-22,Imprenta Rapida,Harina x25kg,10,31402.46,tarjeta
V-1254,2025-10-22,Constructora Norte,Cafe en grano,4,7280.83,cheque
V-1255,2025-10-22,Ferreteria Nuñez,Disco SSD 1TB,5,380644.11,transferencia
V-1256,2025-10-22,Veterinaria Patitas,Cuaderno,30,12549.63,transferencia
V-1257,2025-10-22,Farmacia San Martin,Servicio de mantenimiento,1,32308.18,transferencia
V-1258,2025-10-22,Distribuidora Sur,Lapiceras x12,15,37971.54,efectivo
V-1259,2025-10-22,Constructora Norte,Silla ergonomica,5,446320.31,efectivo
V-1260,2025-10-23,Consultora Delta,Servicio mensual,1,42680.84,efectivo
V-1261,2025-10-23,Ferreteria Nuñez,Harina x25kg,12,40355.59,transferencia
V-1262,2025-10-23,Carlos Rodriguez,Teclado mecanico,4,147904.14,transferencia
V-1263,2025-10-23,Optica Vision,Licencia software anual,1,126472.35,cheque
V-1264,2025-10-23,Sofia Ramirez,Licencia software anual,4,491825.49,transferencia
V-1265,2025-10-23,Hotel Plaza,Capacitacion,1,56396.22,transferencia
V-1266,2025-10-23,Marta Gomez,Cable HDMI,14,44940.98,transferencia
V-1267,2025-10-23,Restaurante El Puerto,Licencia software anual,2,257700.11,transferencia
V-1268,2025-10-23,Sofia Ramirez,Bolsas x100,56,56810.94,tarjeta
V-1269,2025-10-23,Ana Martinez,Harina x25kg,5,16244.04,transferencia
V-1270,2025-10-23,Escuela Sarmiento,Lapiceras x12,26,59388.05,tarjeta
V-1271,2025-10-23,Inmobiliaria Sol,Golosinas surtidas,22,3218.56,transferencia
V-1272,2025-10-23,Cafe Colonial,Tornillos x100,8,1224.71,transferencia
V-1273,2025-10-23,Consultora Delta,Monitor 24'',1,164397.52,efectivo
V-1274,2025-10-23,Garcia SA,Auriculares,6,141617.05,transferencia
V-1275,2025-10-24,Pedro Sanchez,Carpeta A4,46,53947.22,tarjeta
V-1276,2025-10-24,Diego Torres,Bolsas x100,11,13077.37,efectivo
V-1277,2025-10-24,Peluqueria Glamour,Cartucho tinta,2,12184.69,mercadopago
V-1278,2025-10-24,Inmobiliaria Sol,Cartucho tinta,1,5901.68,transferencia
V-1279,2025-10-24,Garcia SA,Silla ergonomica,4,398573.69,transferencia
V-1280,2025-10-24,Taller Mecanico Lopez,Armazon,3,47664.65,cheque
V-1281,2025-10-24,Farmacia San Martin,Lapiceras x12,10,25497.09,mercadopago
V-1282,2025-10-24,Consultora Delta,Carpeta A4,6,7839.56,transferencia
V-1283,2025-10-24,Ferreteria Nuñez,Harina x25kg,8,25578.38,efectivo
V-1284,2025-10-24,Supermercado Don Pepe,Lapiceras x12,23,56441.43,tarjeta
V-1285,2025-10-24,Lucia Fernandez,Servicio de mantenimiento,1,31529.38,mercadopago
V-1286,2025-10-24,Ana Martinez,Harina x25kg,9,28135.66,efectivo
V-1287,2025-10-24,Lucia Fernandez,Servicio de mantenimiento,1,34320.56,efectivo
V-1288,2025-10-24,Almacen La Paz,Carpeta A4,38,49335.21,cheque
V-1289,2025-10-24,Agropecuaria Campo Verde,Disco SSD 1TB,2,154686.95,mercadopago
V-1290,2025-10-24,Bar La Esquina,Harina x25kg,3,9406.65,transferencia
V-1291,2025-10-24,Imprenta Rapida,Capacitacion,1,62724.95,mercadopago
V-1292,2025-10-24,Consultora Delta,Teclado mecanico,4,146021.78,transferencia
V-1293,2025-10-24,Garcia SA,Servicio mensual,1,41683.91,efectivo
V-1294,2025-10-24,Agropecuaria Campo Verde,Licencia software anual,5,572023.51,tarjeta
V-1295,2025-10-25,Garcia SA,Licencia software anual,2,227083.79,tarjeta
V-1296,2025-10-25,Peluqueria Glamour,Bolsas x100,54,59122.03,efectivo
V-1297,2025-10-25,Libreria Central,Silla ergonomica,6,587050.82,efectivo
V-1298,2025-10-25,Carlos Rodriguez,Silla ergonomica,4,352450.97,transferencia
V-1299,2025-10-25,Clinica Belgrano,Teclado mecanico,1,41233.31,transferencia
V-1300,2025-10-25,Kiosco El Sol,Detergente 5L,8,35332.26,transferencia
V-1301,2025-10-25,Transportes Rios,Monitor 24'',4,747052.23,mercadopago
V-1302,2025-10-25,Martin Castro,Teclado mecanico,4,160396.93,efectivo
V-1303,2025-10-25,Agropecuaria Campo Verde,Mouse inalambrico,6,57555.21,tarjeta
V-1304,2025-10-25,Juan Perez,Lapiceras x12,22,56768.27,tarjeta
V-1305,2025-10-25,Juan Perez,Monitor 24'',4,767089.45,mercadopago
V-1306,2025-10-25,Juan Perez,Cafe en grano,10,20151.48,tarjeta
V-1307,2025-10-25,Marta Gomez,Lapiceras x12,26,64030.49,transferencia
V-1308,2025-10-26,Restaurante El Puerto,Monitor 24'',4,775353.25,tarjeta
V-1309,2025-10-26,Marta Gomez,Teclado mecanico,3,116579.46,efectivo
V-1310,2025-10-26,Sofia Ramirez,Carpeta A4,14,16677.63,transferencia
V-1311,2025-10-26,Mueblerias Hogar,Lapiceras x12,5,11231.45,mercadopago
V-1312,2025-10-26,Clinica Belgrano,Bolsas x100,39,39770.93,transferencia
V-1313,2025-10-26,Carlos Rodriguez,Servicio de consultoria,1,18328.62,mercadopago
V-1314,2025-10-26,Optica Vision,Resma A4,21,20058.50,efectivo
V-1315,2025-10-26,Sofia Ramirez,Toner HP,1,7474.95,tarjeta
V-1316,2025-10-26,Peluqueria Glamour,Resma A4,38,39179.57,tarjeta
V-1317,2025-10-26,Juan Perez,Tornillos x100,29,4686.72,efectivo
V-1318,2025-10-26,Panaderia Ortiz,Auriculares,6,133728.98,transferencia
V-1319,2025-10-26,Marta Gomez,Golosinas surtidas,42,6639.14,tarjeta
V-1320,2025-10-26,Libreria Central,Cuaderno,33,14222.68,transferencia
V-1321,2025-10-26,Farmacia San Martin,Golosinas surtidas,45,6079.77,transferencia
V-1322,2025-10-26,Comercial Andrade,Silla ergonomica,4,383306.09,tarjeta
V-1323,2025-10-26,Escuela Sarmiento,Silla ergonomica,2,179241.21,tarjeta
V-1324,2025-10-26,Comercial Andrade,Monitor 24'',1,183643.80,transferencia
V-1325,2025-10-26,Valentina Diaz,Cartucho tinta,5,33278.48,efectivo
V-1326,2025-10-27,Marta Gomez,Servicio mensual,1,42163.56,efectivo
